CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
2,"Eixample""""",2024,"Bicicletes disciplina viària""""","Sant Antoni""""",30956661,,"Mobilitat""""",4580786,429785,,14,"NO VOL RESPOSTA""""",7,"Bicicletes""""",,1,"Carrer""""",2023,12,"MÒBIL""""","de Calàbria""""",10,11,"QUEIXA""""",1
4,"Les Corts""""",2024,"Parcs jardins i zones verdes fuites aigua""""","les Corts""""",30963661,,"Manteniment de l'espai urbà""""",4581872,427746,,28,"SMS""""",0,"Parcs jardins i zones verdes""""",11,1,"Jardins""""",2023,12,"PROXIMITAT GUB""""","Jard de Can Cuiàs""""",19,12,"INCIDENCIA""""",1
9,"Sant Andreu""""",2024,"Bancs en parcs incidències""""","el Bon Pastor""""",30968673,,"Manteniment de l'espai urbà""""",4587845,433390,,29,"NO VOL RESPOSTA""""",8,"Mobiliari urbà en parcs""""",9,1,"Carrer""""",2023,12,"TELÈFON""""","de Lima""""",59,13,"INCIDENCIA""""",1
,,2024,"Portal de tràmits""""",,30968672,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,14,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968686,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,15,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968671,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,16,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968675,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,17,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968676,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,18,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968678,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,19,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968687,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,20,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968688,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,21,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968685,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,22,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968666,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,23,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968670,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,24,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968668,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,25,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968667,,"Portal de tràmits""""",,,,30,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,26,"CONSULTA""""",1
2,"Eixample""""",2024,"Objectes a netejar / retirar""""","la Nova Esquerra de l'Eixample""""",30968662,,"Recollida i neteja de l'espai urbà""""",4581824,429324,,31,"NO VOL RESPOSTA""""",113,"Neteja carrers i/o places""""",139,1,"Carrer""""",2023,12,"TELÈFON""""","del Comte D'urgell""""",9,27,"INCIDENCIA""""",1
10,"Sant Martí""""",2024,"Semàfor incidències""""","Provençals del Poblenou""""",30968661,,"Manteniment de l'espai urbà""""",4584415,433530,,31,"IMMEDIATA""""",101,"Semàfors""""",,1,"Carrer""""",2023,12,"MÒBIL""""","de Fluvià""""",71,28,"INCIDENCIA""""",1
2,"Eixample""""",2024,"Objectes a netejar / retirar""""","la Nova Esquerra de l'Eixample""""",30968663,,"Recollida i neteja de l'espai urbà""""",4581770,429289,,31,"EMAIL""""",133,"Neteja carrers i/o places""""",139,1,"Carrer""""",2023,12,"TELÈFON""""","D'aragó""""",9,29,"INCIDENCIA""""",1
8,"Nou Barris""""",2024,"Recollida animals morts espai públic""""","Can Peguera""""",30968664,,"Recollida i neteja de l'espai urbà""""",4587266,430386,,31,"EMAIL""""",18,"Recollida animals morts""""",48,1,"Carrer""""",2023,12,"TELÈFON""""","de Cornudella""""",47,30,"INCIDENCIA""""",1
,,2024,"Portal de tràmits""""",,30968690,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,31,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968691,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,32,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968693,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,33,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968689,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,34,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968695,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,35,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968679,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,36,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968694,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,37,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968692,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,38,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968682,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,39,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968680,,"Portal de tràmits""""",,,,31,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2023,12,"WEB""""",,,40,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968696,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,41,"CONSULTA""""",1
2,"Eixample""""",2024,"Fuita aigua neta de companyia o particular""""","la Sagrada Família""""",30968713,,"Manteniment de l'espai urbà""""",4583568,430993,,1,"EMAIL""""",199,"Fuites d'aigua neta""""",,1,"Carrer""""",2024,1,"MÒBIL""""","de Sicília""""",6,42,"INCIDENCIA""""",1
,,2024,"Portal de tràmits""""",,30968705,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,43,"CONSULTA""""",1
,,2024,"Oficina Virtual de Tràmits""""",,30968702,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,44,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968711,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,45,"CONSULTA""""",1
,,2024,"Rec. animals morts en espais privats (PAGAMENT)""""",,30968674,,"Gestions municipals""""",,,,1,"IMMEDIATA""""",,"Recollida i neteja de l'espai urbà""""",,1,,2024,1,"TELÈFON""""",,,46,"PETICIO DE SERVEI""""",1
,,2024,"Portal de tràmits""""",,30968707,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,47,"CONSULTA""""",1
,,2024,"Consulta expropiacions""""",,30956679,,"Urbanisme""""",,,,15,"EMAIL""""",,"Gestió urbanística""""",,1,,2023,12,"WEB""""",,,196,"CONSULTA""""",2
6,"Gràcia""""",2024,"Escala mecànica incidències""""","la Salut""""",30968677,,"Manteniment de l'espai urbà""""",4584781,429228,,1,"NO VOL RESPOSTA""""",31,"Escales mecàniques""""",18,1,"Avinguda""""",2024,1,"TELÈFON""""","Av del Santuari de Sant Josep de la Muntanya""""",30,48,"INCIDENCIA""""",1
,,2024,"Portal de tràmits""""",,30968708,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,49,"CONSULTA""""",1
1,"Ciutat Vella""""",2024,"Recollida animals morts espai públic""""","Sant Pere  Santa Caterina i la Ribera""""",30968683,,"Recollida i neteja de l'espai urbà""""",4581730,431345,,1,"NO VOL RESPOSTA""""",1,"Recollida animals morts""""",,1,"Carrer""""",2024,1,"MÒBIL""""","de la Princesa""""",4,50,"INCIDENCIA""""",1
,,2024,"Portal de tràmits""""",,30968698,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,51,"CONSULTA""""",1
,,2024,"Oficina Virtual de Tràmits""""",,30968706,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,52,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968701,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,53,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968703,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,54,"CONSULTA""""",1
,,2024,"Moment solar""""",,30968681,,"Medi ambient""""",,,,1,"EMAIL""""",,"Energia solar""""",,1,,2024,1,"WEB""""",,,55,"CONSULTA""""",1
,,2024,"Rec. animals morts en espais privats (PAGAMENT)""""",,30968709,,"Gestions municipals""""",,,,1,"IMMEDIATA""""",,"Recollida i neteja de l'espai urbà""""",,1,,2024,1,"TELÈFON""""",,,56,"PETICIO DE SERVEI""""",1
,,2024,"Moment solar""""",,30968684,,"Medi ambient""""",,,,1,"EMAIL""""",,"Energia solar""""",,1,,2024,1,"WEB""""",,,57,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968697,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,58,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968700,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,59,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968710,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,60,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968699,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,61,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968712,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,62,"CONSULTA""""",1
,,2024,"Portal de tràmits""""",,30968704,,"Portal de tràmits""""",,,,1,"EMAIL""""",,"Relacions amb l'Ajuntament""""",,1,,2024,1,"WEB""""",,,63,"CONSULTA""""",1
,,2024,"Rec. animals morts en espais privats (PAGAMENT)""""",,30968665,,"Gestions municipals""""",,,,1,"IMMEDIATA""""",,"Recollida i neteja de l'espai urbà""""",,1,,2024,1,"TELÈFON""""",,,64,"PETICIO DE SERVEI""""",1
,,2024,"Rec. animals morts en espais privats (PAGAMENT)""""",,30968669,,"Gestions municipals""""",,,,1,"IMMEDIATA""""",,"Recollida i neteja de l'espai urbà""""",,1,,2024,1,"TELÈFON""""",,,65,"PETICIO DE SERVEI""""",1
,,2024,"Turisme""""",,31184946,,"Oci / lleure""""",,,,29,"EMAIL""""",,"Activitats""""",,1,,2024,1,"WEB""""",,,17918,"CONSULTA""""",29
5,"Sarrià-Sant Gervasi""""",2024,"Semàfor incidències""""","Sant Gervasi - la Bonanova""""",30953685,,"Manteniment de l'espai urbà""""",4583955,427344,,7,"IMMEDIATA""""",136,"Semàfors""""",46,1,"Carrer""""",2023,6,"INSTÀNCIA""""","de Ganduxer""""",25,66,"INCIDENCIA""""",2
5,"Sarrià-Sant Gervasi""""",2024,"Semàfor incidències""""","el Putxet i el Farró""""",30953686,,"Manteniment de l'espai urbà""""",4584162,428604,,9,"IMMEDIATA""""",48,"Semàfors""""",,1,"Carrer""""",2023,6,"MÒBIL""""","de Pàdua""""",27,67,"INCIDENCIA""""",2
7,"Horta-Guinardó""""",2024,"Plataforma accès BUS incidències""""","Can Baró""""",30953665,,"Transports públics""""",4585298,429978,,13,"NO VOL RESPOSTA""""",16,"Autobusos TMB""""",24,1,"Plaça""""",2023,7,"RECLAMACIÓ INTERNA""""","Pl de Can Baró""""",34,68,"INCIDENCIA""""",2
4,"Les Corts""""",2024,"Semàfor incidències""""","les Corts""""",30953694,,"Manteniment de l'espai urbà""""",4581661,427669,,9,"IMMEDIATA""""",46,"Semàfors""""",,1,"Carrer""""",2023,9,"MÒBIL""""","D'evarist Arnús""""",19,69,"INCIDENCIA""""",2
9,"Sant Andreu""""",2024,"Marquesina nova BUS""""","Sant Andreu""""",30953664,,"Transports públics""""",4587563,432457,,13,"NO VOL RESPOSTA""""",8,"Autobusos TMB""""",27,1,"Carrer""""",2023,9,"TELÈFON""""","dels Segadors""""",60,70,"SUGGERIMENT""""",2
8,"Nou Barris""""",2024,"Marquesina nova BUS""""","la Trinitat Nova""""",30953663,,"Transports públics""""",4588841,432102,,13,"NO VOL RESPOSTA""""",13,"Autobusos TMB""""",105,1,"Carrer""""",2023,9,"TELÈFON""""","de S'agaró""""",53,71,"SUGGERIMENT""""",2
5,"Sarrià-Sant Gervasi""""",2024,"Canvi d'ubicació de la parada de BUS o marquesina""""","Sarrià""""",30953708,,"Transports públics""""",4583627,425912,,22,"EMAIL""""",69,"Autobusos TMB""""",,1,"Ronda""""",2023,9,"RECLAMACIÓ INTERNA""""","Rda de Dalt (besòs)""""",23,72,"SUGGERIMENT""""",2
4,"Les Corts""""",2024,"Semàfor incidències""""","les Corts""""",30953695,,"Manteniment de l'espai urbà""""",4582417,427413,,26,"IMMEDIATA""""",652,"Semàfors""""",,1,"Avinguda""""",2023,9,"MÒBIL""""","Av Diagonal""""",19,73,"INCIDENCIA""""",2
3,"Sants-Montjuïc""""",2024,"Serveis neteja i recollida""""","el Poble-sec""""",30953675,,"Prevenció i seguretat""""",4580595,429682,,28,"EMAIL""""",7,"Molèsties soroll a la via pública""""",,1,"Plaça""""",2023,9,"RECLAMACIÓ INTERNA""""","Pl de las Navas""""",11,74,"QUEIXA""""",2
5,"Sarrià-Sant Gervasi""""",2024,"Zones Ciutat 30""""","Sant Gervasi - Galvany""""",30953688,,"Mobilitat""""",4583869,428121,,2,"EMAIL""""",28,"Ordenació viària""""",,1,"Carrer""""",2023,10,"RECLAMACIÓ INTERNA""""","D'hercegovina""""",26,75,"QUEIXA""""",2
5,"Sarrià-Sant Gervasi""""",2024,"Marquesina nova BUS""""","Sant Gervasi - Galvany""""",30953711,,"Transports públics""""",4582989,428296,,6,"CARTA""""",7,"Autobusos TMB""""",60,1,"Carrer""""",2023,10,"TELÈFON""""","del Tenor Viñas""""",26,76,"SUGGERIMENT""""",2
,,2024,"Oficina bombers""""",,31899708,,"Prevenció i seguretat""""",,,,5,"EMAIL""""",,"Bombers""""",,3,,2024,3,"WEB""""",,,39937,"QUEIXA""""",5
9,"Sant Andreu""""",2024,"Parcs jardins i zones verdes accessibilitat incidències""""","Sant Andreu""""",30953682,,"Manteniment de l'espai urbà""""",4588233,432261,,8,"EMAIL""""",0,"Parcs jardins i zones verdes""""",,1,"Parc""""",2023,10,"RECLAMACIÓ INTERNA""""","Parc D'antoni Santiburcio""""",60,77,"INCIDENCIA""""",2
5,"Sarrià-Sant Gervasi""""",2024,"Nou recorregut BUS""""","el Putxet i el Farró""""",30953710,,"Transports públics""""",4584508,428181,,9,"NO VOL RESPOSTA""""",14,"Autobusos TMB""""",97,1,"Carrer""""",2023,10,"TELÈFON""""","de Roca i Batlle""""",27,78,"SUGGERIMENT""""",2
2,"Eixample""""",2024,"Canvi d'ubicació de la parada de BUS o marquesina""""","la Nova Esquerra de l'Eixample""""",30953709,,"Transports públics""""",4580843,428826,,11,"EMAIL""""",70,"Autobusos TMB""""",149,1,"Carrer""""",2023,10,"TELÈFON""""","de Tarragona""""",9,79,"SUGGERIMENT""""",2
1,"Ciutat Vella""""",2024,"Afectacions mobilitat durant obres""""","Sant Pere  Santa Caterina i la Ribera""""",30954684,,"Urbanisme""""",4581881,431460,,13,"EMAIL""""",1,"Altres obres a la via pública""""",48,1,"Carrer""""",2023,10,"RECLAMACIÓ INTERNA""""","de Montcada""""",4,80,"QUEIXA""""",2
8,"Nou Barris""""",2024,"Senyal vertical nou / canvi de lloc""""","Vilapicina i la Torre Llobeta""""",30953707,,"Manteniment de l'espai urbà""""",4586675,430520,,13,"EMAIL""""",121,"Senyalització vertical trànsit""""",,1,"Carrer""""",2023,10,"MÒBIL""""","de Cartellà""""",44,81,"SUGGERIMENT""""",2
3,"Sants-Montjuïc""""",2024,"Parcs jardins i zones verdes incidències""""","el Poble-sec""""",30959667,,"Manteniment de l'espai urbà""""",4580375,429624,,14,"EMAIL""""",57,"Parcs jardins i zones verdes""""",,1,"Carrer""""",2023,10,"RECLAMACIÓ INTERNA""""","de la Concòrdia""""",11,82,"INCIDENCIA""""",2
7,"Horta-Guinardó""""",2024,"Canvi d'ubicació de la parada de BUS o marquesina""""","el Baix Guinardó""""",30953706,,"Transports públics""""",4584946,430040,,16,"EMAIL""""",54,"Autobusos TMB""""",17,1,"Carrer""""",2023,10,"TELÈFON""""","de Les Camèlies""""",33,83,"SUGGERIMENT""""",2
,,2024,"Metro incidències servei""""",,30963781,,"Transports públics""""",,,,17,"EMAIL""""",,"Metro""""",,1,,2023,10,"RECLAMACIÓ INTERNA""""",,,84,"INCIDENCIA""""",2
,,2024,"Desacord tramitació persones amb discapacitat""""",,30953713,,"Serveis socials""""",,,,19,"EMAIL""""",,"Persones amb discapacitats""""",,1,,2023,10,"TELÈFON""""",,,85,"QUEIXA""""",2
9,"Sant Andreu""""",2024,"Serveis neteja i recollida""""","la Sagrera""""",30953667,,"Prevenció i seguretat""""",4586076,431934,,21,"EMAIL""""",45,"Molèsties soroll a la via pública""""",,1,"Carrer""""",2023,10,"WEB""""","D'olesa""""",61,86,"QUEIXA""""",2
2,"Eixample""""",2024,"Superilles Eixample""""","la Nova Esquerra de l'Eixample""""",30953668,,"Urbanisme""""",4581334,429094,,23,"EMAIL""""",108,"Superilles a la ciutat""""",,1,"Carrer""""",2023,10,"WEB""""","de Rocafort""""",9,87,"QUEIXA""""",2
,,2024,"Desacord tramitació persones amb discapacitat""""",,30953714,,"Serveis socials""""",,,,23,"EMAIL""""",,"Persones amb discapacitats""""",,1,,2023,10,"TELÈFON""""",,,88,"QUEIXA""""",2
4,"Les Corts""""",2024,"Semàfor modificació temps durada""""","la Maternitat i Sant Ramon""""",30953692,,"Manteniment de l'espai urbà""""",4580959,425943,,23,"EMAIL""""",10,"Semàfors""""",,1,"Carrer""""",2023,10,"WEB""""","del Cardenal Reig""""",20,89,"SUGGERIMENT""""",2
,,2024,"No ha rebut resposta""""",,30953715,,"Informació  tràmits i atenció ciutadana""""",,,,24,"EMAIL""""",,"Incidències instàncies i fulls de queixes""""",,1,,2023,10,"TELÈFON""""",,,90,"INCIDENCIA""""",2
,,2024,"Altres serveis persones amb discapacitats""""",,30953716,,"Serveis socials""""",,,,25,"EMAIL""""",,"Persones amb discapacitats""""",,1,,2023,10,"WEB""""",,,91,"SUGGERIMENT""""",2
5,"Sarrià-Sant Gervasi""""",2024,"Arbrat incidències""""","Sarrià""""",30959668,,"Manteniment de l'espai urbà""""",4584361,426555,,25,"EMAIL""""",61,"Arbrat""""",,1,"Carrer""""",2023,10,"RECLAMACIÓ INTERNA""""","de Pomaret""""",23,92,"INCIDENCIA""""",2
3,"Sants-Montjuïc""""",2024,"Necessitats fisiològiques a la via pública""""","Sants - Badal""""",30954699,,"Prevenció i seguretat""""",4580829,427168,,25,"EMAIL""""",1,"Incompliment d'ordenances a l'espai públic""""",,1,"Carrer""""",2023,10,"RECLAMACIÓ INTERNA""""","de Sant Feliu de Guíxols""""",17,93,"QUEIXA""""",2
6,"Gràcia""""",2024,"Marquesina nova BUS""""","la Salut""""",30953704,,"Transports públics""""",4584962,429917,,26,"CARTA""""",561,"Autobusos TMB""""",24,1,"Carrer""""",2023,10,"TELÈFON""""","de Sardenya""""",30,94,"SUGGERIMENT""""",2
7,"Horta-Guinardó""""",2024,"Senyalització parada BUS""""","la Font d'en Fargues""""",30953703,,"Transports públics""""",4585992,429969,,27,"EMAIL""""",160,"Autobusos TMB""""",56,1,"Carrer""""",2023,10,"TELÈFON""""","de Montserrat de Casanovas""""",36,95,"QUEIXA""""",2
2,"Eixample""""",2024,"Objectes a netejar / retirar""""","Sant Antoni""""",30953671,,"Recollida i neteja de l'espai urbà""""",4581003,429199,,27,"EMAIL""""",47,"Neteja carrers i/o places""""",151,1,"Carrer""""",2023,10,"INSTÀNCIA""""","D'entença""""",10,96,"INCIDENCIA""""",2
10,"Sant Martí""""",2024,"Canvi d'ubicació de la parada de BUS o marquesina""""","el Clot""""",30953701,,"Transports públics""""",4584548,432066,,30,"EMAIL""""",142,"Autobusos TMB""""",26,1,"Avinguda""""",2023,10,"INSTÀNCIA TELEMÀTICA""""","Av Meridiana""""",65,97,"SUGGERIMENT""""",2
